Country,adaptation_doc,name,subsector_name,title
Afghanistan,Intended Nationally Determined Contribution (INDC),Water,Water infrastructure,"Development of water resources through rehabilitation and reconstruction of small-, medium-, and large-scale infrastructure"
Afghanistan,Intended Nationally Determined Contribution (INDC),Water,Water management,Adaptive and integrated water management
Afghanistan,Intended Nationally Determined Contribution (INDC),Water,Water supply,"Improving access by rural communities and farmers to water to support Food security, reduce poverty and improve agricultural productions"
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Construction of new drainage systems and rehabilitation of the existing drainage infrastructure” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Increase by at least 50% of the current number of excavators and machinery needed for the maintenance of drainage infrastructure.” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Increase the financial support for municipalities, to undertake the necessary interventions in the secondary and tertiary drainage canals.” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Increase the flood protection capacities. From a total of 850 km of river and sea embankments, about 300 km of the need urgent repairs.” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “The update of the river management plans (river Buna, Drin, Mat, Shkumbin and Vjosa), and assessment of the additional interventions, needed for flood cases in the areas with a medium and high degree of risk” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Application of subsidy schemes for farmers, for the introduction of new technologies in agricultural production” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Financial support for the application of agricultural crop insurance schemes, for the harmful effects of climate change” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Reduction as much as possible of chemical inputs in agriculture and Introduction of new cultivation technologies” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Promotion of organic farming and application of precision farming systems” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Introduction of pest and disease resistant cultivars as well as improvement of pest monitoring and information system” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agriculture: General,"AFOLU, Agriculture Crops: “Application of crop cultivation in protected environments, increasing the area of greenhouses, tunnels and hail protection systems” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agroforestry,"AFOLU, Agriculture Crops: “Application of agroforestry practices, combining the growth of crops accompanied by forest trees, and construction of hedgerows and windbreaks on the fields planed with crops” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Agroforestry,"AFOLU, Livestock: “Applying agroforestry as an integrated approach for extensive grazing system of livestock” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"Settlements, populations and tourism in the Albanian coast: “Promote climate-smart and sustainable agriculture, forestry and fisheries” (p. 68) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"AFOLU, Agriculture Crops: “Increase institutional capacity, to monitor climate indicators, as well as indicators related to the effects of climate change in agriculture” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"AFOLU, Agriculture Crops: “Raising the awareness of farmers, and agricultural specialists, on the risk posed by climate change in agriculture, as well as necessary measures to adapt to these climate changes” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"AFOLU, Agriculture Crops: “Promoting plant breeding programs, which are focused on the development of new cultivars adapted to climate change (drought and cold resistant)” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"AFOLU, Agriculture Crops: “Diversification of crops, cultivated on farm and diversification of farm activities altering agricultural production with agroprocesing , agr-tourisem etc.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Climate smart agriculture,"AFOLU, Livestock: “Diversification, intensification and/or integration of pasture management, crop production and agroforestry practices for extensive system of livestock husbandry.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Crops,"AFOLU, Agriculture Crops: “Application of crop rotation practices, in the plain areas of the country, as well as the planting of perennial crops, in hilly and mountainous areas” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Development of fishery sectoral climate change adaptation plans integrated to the supporting sectors (water, energy and agriculture) and development of risk management plans” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Addressing the specific needs of small scale coastal fishing and supporting the socio-economic role of sea fisheries in coastal and insular areas” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Restructuring and modernize the fishing fleet by improving work and safety, conditions, the quality and hygiene of products, energy efficiency and selectivity.” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Improving the marine fisheries employment age structure and promoting the diversification of activity and/or parallel employment, as alternative solution to impacted fishery related activities by the CC.” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Supporting populations dependent on the fisheries sector in coastal and isolated areas by providing them financial conditions for more sources of incomes.” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Strengthening the sector by investing in development of new markets and expanding the range of offered products (as a collaboration with the processing industry and partners from other countries).” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Improving scientific capacities to predict/assess the future state of the fisheries sectors in the face of climate changes.” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Strengthening the resilience of natural resources by following an adaptive fisheries management approach (application of the Ecosystem Based Approach)” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Increasing the involvement of fishers in the tourism sector (like pesca-tourism)” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Exploitation and Management of Invasive Alien Species (IAS)” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Strengthening aquaculture capacities by following ad-hoc recommendation and measures regarding environmental parameters and diseases” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Improving aquaculture capacities by species diversifying, while oriented toward local and international markets” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Strengthening aquaculture capacities by using adequate fingerlings (dimensions, age and density) in the on-growing facilities and improving aquaculture capacities by adapting qualitative and proper feed quantity to changed climate conditions” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Study and record of the impact of climate change on current used techniques in aquaculture to develop new more efficient methods and techniques” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Intensifying cooperation towards the direction of detection and prevention of new diseases, study of the physiology of marine species, conduct research into new and better able species to adapt and better nutritional systems that are both effective and environmentally friendly.” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Insurance aquaculture to avoid the risk of bankruptcy for fish farmers from damage to their facilities due to extreme weather events; incentives to insure and avoid long-term reductions in production and social problems of the abandonment of their profession” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Reducing exposure to risks at sea, such as storms and winds, can include training and provision of safety gear or GPS devices (it mainly includes lakes and marine fisheries).” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Increased resilience of aquaculture to reduced flow of water, changes in water physicochemical parameters, and occurrence/spread of fish and mussel’s diseases” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Protect and preserve fisheries resources via a gradual transition from a fisheries management policy based on the control of fishing effort to an Ecosystem-Based management.” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Strengthening research capacities in the field of selective breeding, aqua-feed and breeding in closed systems.” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Fisheries and aquaculture,"AFOLU, Aquaculture and Fisheries: “Apply aquaculture closed production systems and integrated aquaculture technologies” (p. 75) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Irrigation,"AFOLU, Agriculture Crops: “Construction of new irrigation system and rehabilitation and modernization of existing irrigation systems to restore irrigation on 360.000 ha arable land , which could potentially be irrigated” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Irrigation,"AFOLU, Agriculture Crops: “Gradual transition from classic forms of gravity irrigation to modern forms of irrigation (sprinkler and drip irrigation)” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Irrigation,"AFOLU, Agriculture Crops: “Strengthening water use associations for the management of the irrigation water and raising the awareness of the farmers for the payment of the irrigation fee” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Irrigation,"AFOLU, Livestock: “Improve management of water resources through the introduction of simple techniques for localized irrigation (e.g., drip and sprinkler irrigation), accompanied by infrastructure to harvest and store rainwater, such as tanks connected to the roofs of houses and small surface and underground dams.” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Land and soil management,"AFOLU, Agriculture Crops: “Introduction of new cultivation techniques, such as direct planting, (no-tillage systems) as well as, soil mulching techniques” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Development of livestock sectoral climate change adaptation plans” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Development of National Strategies and Action Plans for Agricultural Genetic Resources” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Increase institutional capacity, to monitor climate indicators, livestock data, regarding the number, level of production in different seasons for respective AEZ” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Establishing of a weather alert system to enable livestock farmers to protect animals. Improve the capacities of livestock farmers and herders to understand and cope with risk posed by climate change in livestock.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Application of subsidy schemes to farmers, for the introduction of new technologies in livestock husbandry, diversification and processing activities.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Financial support for the application of livestock insurance schemes, for the harmful effects of climate change.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Strengthening capacities of national veterinary service to protect animal health and wellbeing.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Improving the livestock sector’s environmental sustainability. Increasing efficiency of natural resources use.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Capacity building of Institutions and farmers associations to plan and implement appropriate breeding programs to improve animal production and their resilience to climate change” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Capacity building of farmers for conservation and sustainable use of local genetic resources, as more resistant and adapted to changes in climate environment” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “National cryo-bank establishment or enhancing collaboration with international gene banks for cryo conservation of most vulnerable local farm animal genetic resources” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Increasing efficiency in resource use, fodder and water, improving the sector’s environmental sustainability” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Increasing the efficiency of pasture management through sustainable grazing practices like as rotational grazing, adjusting the frequency and timing of grazing to match the livestock’s needs with the availability of pasture resources. Establish and maintain water points for livestock in grazing areas and shelters to protect animals to hot seasons.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Implementation of mixed livestock farming systems, such as stable -fed systems during winter and pasture grazing, in the spring-autumn period. Better use of alpine pastures, during summer especially for fattening animals to avoid overgrazing near villages.” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Diversification of farm animal species because they exploit different feed resources. They can be affected differently from the outbreak of diseases. They have different reproductive rates and can contribute differently to rebuild livestock holding after drought, disease or natural disasters.” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Increasing livestock mobility, the traditional strategy of transhumant herders; in the winter period from mountainous regions to low land regions and vice versa during summertime” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Improve the environment inside housings/application of efficient cooling equipment like fans, water sprinklers to minimize heat stress. Planting trees around stables” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Reduction of livestock numbers – a lower number of more productive animals leads to more efficient production” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Livestock: “Improving animal husbandry through activities that ensure proper nutrition and appropriate feeding and reproductive strategies” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Agriculture,Livestock,"AFOLU, Pastures and Meadows: “Support smallholder livestock communities in rural and highland areas through based local investment programs, by scaling up and integrating climate change adaptation options” (p. 72) "
Albania,Updated First Nationally Determined Contribution (NDC),Coastal Zone,Coastal Zone: General,"Settlements, populations and tourism in the Albanian coast: “Development of territorial climate change adaptation plans for the whole coast (an integrated coastal zone adaptation plan), specific regions (the 4 that were prioritized) or cities” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Coastal Zone,Coastal Zone: General,"AFOLU, Lagoons and Wetlands: “Development of territorial climate change adaptation plans for the whole coast (an integrated coastal zone adaptation plan, including lagoons and protected areas)” (p. 73) "
Albania,Updated First Nationally Determined Contribution (NDC),Coastal Zone,Sea-level rise protection,"Settlements, populations and tourism in the Albanian coast: “Determining (green and blue) buffer zones in risk-prone areas (in the coast and in-land)” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Coastal Zone,Sea-level rise protection,"Settlements, populations and tourism in the Albanian coast: “Construction and maintenance of protective infrastructure (e.g. sea defences/concrete gates, increasing the level of river beds (desilting, widening channels)” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Coastal Zone,Sea-level rise protection,"AFOLU, Lagoons and Wetlands: “Rehabilitation and restoration of degraded habitats, including barriers along the coastal zone” (p. 73) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Agriculture Crops: “Increase institutional capacity, to monitor climate indicators, as well as indicators related to the effects of climate change in agriculture” (p. 69) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Livestock: “Strengthening capacities of national veterinary service to protect animal health and wellbeing.” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Livestock: “Capacity building of Institutions and farmers associations to plan and implement appropriate breeding programs to improve animal production and their resilience to climate change” (p. 70) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Institutional and organisational strengthening of governmental structures in providing interconnection between planning authorities and other inter-sectoral bodies that play a role in adapting against climate changes.” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Development of sectoral climate change adaptation plans for the 3 main sectors prioritized and the supporting sectors (water, energy and agriculture/forestry/fisheries)” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Mainstreaming climate change adaptation into national cross-sectoral development planning legislation, regulations, procedures and tools” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Mainstreaming climate change adaptation into spatial/territorial development planning legislation, regulations, procedures and tools, including building codes (orientation of constructions in areas protected by floods and marine erosion)” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Mainstreaming climate change adaptation into sectoral development planning legislation, regulations, procedures and tools (including building codes and standards for housing and other infrastructure)” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Enforcement of (revised) national, territorial and sector level legislation and regulations (building codes, water resources…)” (p. 66) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Support research on and monitoring of physical, biological and social aspects, including climate-related variables (including sea level and extreme weather events), the erosion of the coast, coastal and marine ecosystems, vector-borne diseases, natural resources (e.g. water and food quantity and quality, air quality), the built environment (e.g. location, density) and socio-economic and demographic aspects, including the modernization of monitoring equipment and systems” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Monitor and assess the implementation and results of adaptation programmes, projects and actions, ensuring the engagement of women in this process” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Capacity building (e.g. training, best practice exchange, development of guidelines) on climate change, its impacts (e.g. ecosystems, buildings, water and energy infrastructure, health) and the design, implementation, monitoring and evaluation of adaptation actions of key stakeholders (e.g. policy and decision makers, planning authorities, implementers, including the private sector)” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"Settlements, populations and tourism in the Albanian coast: “Public information and awareness raising (e.g. awareness raising campaigns) on climate change, its impacts and the design, implementation, monitoring and evaluation of adaptation actions (e.g. heat related, resources efficiency, reclying)” (p. 67) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Forestry: “Implement national strategy and action plan for climate changes” (p. 71) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Pastures and Meadows: “Strengthen the capacities of the newly established Forestry Agency and the Forestry Unit at Municipality level on developing including pastures and meadows in the regional development plans, including designating specific role and responsibilities in adapting against climate changes.” (p. 72) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Pastures and Meadows: “Support Universities and research institutes in developing research and studies on risk assessment for pastures” (p. 72) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Lagoons and Wetlands: “Maintain water communication with the sea through the natural communication channels” (p. 73) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Aquaculture and Fisheries: “Institutional and organizational strengthening of central and local governmental structures (following a co-management approach) in providing interconnection between planning authorities and other inter-sectoral bodies that play a role in adapting against climate changes” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Aquaculture and Fisheries: “Development of territorial climate change adaptation plans for the whole coast (an integrated coastal zone adaptation plan, including lagoons and fishery sectors)” (p. 74) "
Albania,Updated First Nationally Determined Contribution (NDC),Cross-Cutting Area,Capacity building and knowledge transfer,"AFOLU, Aquaculture and Fisheries: “Improvements on predicting capacity about the future status of bio-resources” (p. 75) "
